Ticker,Frequency,Name,Percentage
AMGN,35273,"Amgen, Inc.",0.18133695092144958
AEO,3535,American Eagle Outfi,0.018173280455513405
AMD,56076,Advanced Micro Devic,0.2882842644479122
AMAT,11974,"Applied Materials, I",0.06155781051607284
ASNA,5386,Ascena Retail Group ,0.027689190532785058
AUPH,5128,Aurinia Pharmaceutic,0.02636282381212807
ICFI,976,ICF International In,0.005017573330857449
JNJ,39587,Johnson & Johnson,0.20351503632034204
SNPS,2124,"Synopsys, Inc.",0.01091939114215289
TGT,22623,Target Corporation,0.11630385395900417
TTWO,7010,Take Two Interactive,0.03603810353412983
ACOR,2433,Acorda Therapeutics ,0.012507946633172307
AAP,5668,"Advance Auto Parts, ",0.02913894020420084
AAPL,288037,Apple Inc.,1.4807856244878965
NFLX,120847,"Netflix, Inc.",0.6212691437644776
AAL,8628,American Airlines Gr,0.04435617079778491
AEZS,8213,AEterna Zentaris Inc,0.04222267394091417
CNBX,19134,Cannabics Pharmaceut,0.0983670574924451
FB,211286,Facebook Inc,1.0862120889175686
GLBS,4754,Globus Maritime Ltd,0.0244401061628036
GOOG,86263,Alphabet Inc,0.4434743117210616
GRPN,6717,Groupon Inc,0.034531803343616274
GWPH,24333,GW Pharmaceuticals P,0.12509488920056794
KERX,5276,Keryx Biopharmaceuti,0.027123685341807275
OCUL,7278,Ocular Therapeutix I,0.037415879817602984
OWCP,88636,OWC Pharmaceutical R,0.4556738009773369
PCLN,24564,Priceline Group Inc,0.12628245010162129
SRPT,30080,,0.15463996495101645
USRM,79275,US Stem Cell Inc,0.4075493092251273
VDRM,53079,Viaderma Inc,0.2728768184719083
VRX,21585,Valeant Pharmaceutic,0.11096754133868651
ZNGA,24224,Zynga Inc,0.12453452496587177
BIDU,14523,Baidu Inc (ADR),0.07466210807791263
CHK,12101,Chesapeake Energy Co,0.0622107119638381
DRYS,44513,DryShips Inc.,0.2288393869635836
DVN,4242,Devon Energy Corp,0.021807936546616086
GPRO,13735,GoPro Inc,0.07061103452799904
INTC,41869,Intel Corporation,0.2152466985549903
LNKD,8850,LinkedIn Corp,0.04549746309230371
NVDA,90520,NVIDIA Corporation,0.46535936261190186
SIRI,14785,,0.07600903862369608
SNAP,92259,Snap Inc,0.47429948558563256
TSLA,184441,Tesla Inc,0.9482031175375806
TVIX,8317,,0.042757333394202256
VXX,10585,,0.054417022240907886
YELP,7057,Yelp Inc,0.036279728479365794
ADXS,11510,"Advaxis, Inc.",0.059172406801402906
ANY,7297,,0.03751355798695369
BAC,40212,Bank of America Corp,0.2067281339963522
BMY,16943,Bristol-Myers Squibb,0.08710322227942394
C,26592,Citigroup Inc,0.13670830944073903
CSCO,26379,"Cisco Systems, Inc.",0.13561328575275475
DCTH,61841,"Delcath Systems, Inc",0.3179218774114298
FOXA,9288,Twenty-First Century,0.04774920194365163
FTR,6677,Frontier Communicati,0.034326165092351625
GS,64959,Goldman Sachs Group ,0.3339513790975092
JD,11327,JD.Com Inc(ADR),0.05823161180186714
JPM,31579,,0.1623462584171592
MRK,33439,"Merck & Co., Inc.",0.1719084371009654
MSFT,90948,Microsoft Corporatio,0.46755969190043367
MU,24958,"Micron Technology, I",0.12830798687657807
NVAX,11824,"Novavax, Inc.",0.06078666707383041
PFE,26260,Pfizer Inc.,0.1350015119552424
QQQ,127922,PowerShares QQQ Trus,0.6576414094569124
TTD,4052,Trade Desk Inc,0.020831154853108998
ACAD,6056,ACADIA Pharmaceutica,0.03113363124146794
AMRI,4994,Albany Molecular Res,0.025673935670391498
AMRN,4823,Amarin Corporation p,0.02479483214623512
CELG,17551,Celgene Corporation,0.0902289236986466
CERS,3032,Cerus Corporation,0.015587379445860436
CLVS,13143,Clovis Oncology Inc,0.06756758840928222
ENDP,8295,,0.0426442323560067
EXEL,5027,"Exelixis, Inc.",0.02584358722768483
FOX,5878,Twenty-First Century,0.030218541023340248
FSLR,10580,"First Solar, Inc.",0.0543913174594998
GILD,37470,"Gilead Sciences, Inc",0.19263163187216045
ICPT,8836,Intercept Pharmaceut,0.04542548970436108
IMMU,6218,"Immunomedics, Inc.",0.031966466159089775
MNKD,9418,MannKind Corporation,0.04841752626026173
QCOM,19122,"QUALCOMM, Inc.",0.09830536601706572
SYMC,7200,Symantec Corporation,0.037014885227636914
AMRS,4754,Amyris Inc,0.0244401061628036
BBRY,16128,BlackBerry Ltd,0.08291334290990669
CMCSA,12685,Comcast Corporation,0.06521303043230198
ETSY,4040,Etsy Inc,0.020769463377729603
MOMO,15231,Momo Inc (ADR),0.07830190512529693
WB,22764,Weibo Corp (ADR),0.11702872879471204
XGTI,6260,xG Technology Inc,0.03218238632291765
YHOO,22830,Yahoo! Inc.,0.11736803190929873
AMZN,237207,"Amazon.com, Inc.",1.219470816693343
BABA,44689,Alibaba Group Holdin,0.22974419526914808
NVS,20969,Novartis AG (ADR),0.10780071226921091
AKAO,2280,Achaogen Inc,0.011721380322085024
arna,1254,,0.006446759177146763
AMSC,1595,American Superconduc,0.008199825269177901
AN,2933,"AutoNation, Inc.",0.015078424773980428
CSRA,1522,CSRA Inc,0.007824535460619914
NRG,4003,NRG Energy Inc,0.020579247995309802
VOOV,28,,0.0001439467758852547
AJRD,1108,,0.005696179560030793
CMTL,1307,Comtech Telecomm. Co,0.006719229860072424
PPA,111,PowerShares Aerospac,0.0005706461472594024
SPA,612,Sparton Corporation,0.0031462652443491382
BXP,1762,"Boston Properties, I",0.009058364968207812
HPP,1103,Hudson Pacific Prope,0.005670474778622711
PSR,122,PowerShares Active U,0.0006271966663571811
ROIC,1475,Retail Opportunity I,0.007582910515383952
BNED,1299,Barnes & Noble Educa,0.006678102209819493
LXU,841,"LSB Industries, Inc.",0.004323544232839256
PERY,1115,Perry Ellis Internat,0.005732166254002106
VIOV,6,,3.0845737689697434e-05
BPMC,1788,Blueprint Medicines ,0.009192029831529834
CNCE,996,Concert Pharmaceutic,0.005120392456489774
EPZM,2786,Epizyme Inc,0.01432270420058284
PTH,68,PowerShares Dynamic ,0.0003495850271499042
IBLN,13,,6.68324316610111e-05
MHK,2073,"Mohawk Industries, I",0.010657202371790462
AIG,7868,American Internation,0.04044904402375657
BIIB,12547,Biogen Inc,0.06450357846543894
CRM,21733,"salesforce.com, inc.",0.1117284028683657
DHR,5410,Danaher Corporation,0.027812573483543847
DUK,6143,Duke Energy Corp,0.03158089443796855
EPD,5931,Enterprise Products ,0.030491011706265912
NEE,5753,NextEra Energy Inc,0.02957592148813822
PNC,6128,,0.03150378009374431
TMO,5979,Thermo Fisher Scient,0.03073777760778349
ATHN,3776,"athenahealth, Inc",0.019412250919382916
BRZU,484,,0.002488222840302259
ELGX,1429,"Endologix, Inc.",0.007346426526429604
GLYC,7560,GlycoMimetics Inc,0.03886562948901877
PBR,6358,Petroleo Brasileiro ,0.03268620003851605
PLCE,1900,Childrens Place Inc,0.009767816935070853
AEM,2491,Agnico Eagle Mines L,0.01280612209750605
ADSK,5662,"Autodesk, Inc.",0.029108094466511143
CPB,4431,Campbell Soup Compan,0.022779577283841553
DE,11089,Deere & Company,0.05700806420684247
DXLG,1449,Destination XL Group,0.00744924565206193
FL,9475,"Foot Locker, Inc.",0.048710560768313864
GLOB,1414,Globant SA,0.007269312182205362
GPS,5693,Gap Inc,0.029267464111241245
MCK,6188,McKesson Corporation,0.03181223747064128
MMYT,1229,MakeMyTrip Limited,0.006318235270106357
NWY,762,"New York & Company, ",0.003917408686591573
ROST,6890,"Ross Stores, Inc.",0.035421188780335885
SB,1329,"Safe Bulkers, Inc.",0.00683233089826798
SPWH,2481,Sportsman's Warehous,0.012754712534689887
Beat,5945,,0.030562985094208538
INCY,8565,Incyte Corporation,0.04403229055204308
LB,8849,L Brands Inc,0.04549232213602209
P,11898,Pandora Media Inc,0.061167097838670005
WMT,46195,Wal-Mart Stores Inc,0.23748647542926213
AINV,1804,Apollo Investment Co,0.009274285132035695
BKE,1504,Buckle Inc,0.007731998247550822
BONT,1887,Bon-Ton Stores Inc,0.009700984503409843
EXP,7468,"Eagle Materials, Inc",0.03839266151111007
FLO,4866,"Flowers Foods, Inc.",0.025015893266344614
HIBB,2757,"Hibbett Sports, Inc.",0.01417361646841597
JE,1498,Just Energy Group In,0.007701152509861125
MNRO,1668,Monro Muffler Brake ,0.008575115077735887
RL,3941,Ralph Lauren Corp,0.020260508705849594
SMRT,1303,"Stein Mart, Inc.",0.006698666034945959
SQM,4813,Sociedad Quimica y M,0.024743422583418957
ZTO,966,ZTO Express (Cayman),0.004966163768041287
AA,5473,Alcoa Corp,0.028136453729285672
AGN,12286,,0.0631617888759371
BRK,3215,,0.01652817444539621
IEP,1388,Icahn Enterprises LP,0.007135647318883338
KO,14666,The Coca-Cola Co,0.07539726482618375
MYL,8650,,0.04446927183598046
PEP,12625,"PepsiCo, Inc.",0.06490457305540501
TWTR,99480,Twitter Inc,0.5114223308951834
AMMA,4418,Alliance MMA Inc,0.02271274485218054
ETRM,5523,EnteroMedics Inc,0.028393501543366485
NURO,1175,Neurometrix Inc,0.0060406236308990805
SHP,108,ShangPharma Corp (AD,0.0005552232784145538
AZN,11999,AstraZeneca plc (ADR,0.06168633442311325
RHHBY,4928,Roche Holding Ltd. (,0.025334632555804825
AFMD,2596,Affimed NV,0.013345922507075754
BZQ,252,,0.001295520982967292
DWT,1712,,0.008801317154127
JDST,2747,,0.014122206905599807
SCO,1763,,0.009063505924489429
SHPG,7158,Shire PLC (ADR),0.03679896506380904
SNDX,1177,Syndax Pharmaceutica,0.006050905543462312
TRVG,2428,Trivago NV - ADR,0.012482241851764227
TZA,16509,Direxion Daily Small,0.08487204725320249
UGAZ,3545,,0.018224690018329565
AROC,5483,Archrock Inc,0.02818786329210184
ADBE,11040,Adobe Systems Incorp,0.056756157349043275
BUD,3898,Anheuser Busch Inbev,0.020039447585740097
DIA,50150,SPDR Dow Jones Indus,0.25781895752305434
DJIA,8626,,0.044345888885221674
SPY,160087,SPDR S&P 500 ETF Tru,0.8230002682550988
AGEN,2067,Agenus Inc,0.010626356634100765
CARA,10089,Cara Therapeutics In,0.051867107925226225
FNCX,436,FunctionX Inc,0.00224145693878468
SHIP,20839,FunctionX Inc,0.10713238795260079
AKTS,187,Seanergy Maritime Ho,0.0009613588246622367
BLPH,1142,Akoustis Technologie,0.005870972073605744
BPL,1624,Bellerophon Therapeu,0.008348913001344771
GOOGL,56963,"Buckeye Partners, L.",0.2928442926697058
SPX,38460,Alphabet Inc,0.19772117859096053
VIX,14204,,0.07302214302407704
BLUE,8474,,0.043564463530416
JUNO,9311,,0.0478674439381288
KITE,12919,Juno Therapeutics In,0.06641601420220018
GOGL,1584,Kite Pharma Inc,0.008143274750080122
BBD,1686,Golden Ocean Group L,0.008667652290804979
ITUB,1627,Banco Bradesco SA (A,0.00836433587018962
ADSW,897,,0.0046114377846097655
LPTX,786,Advanced Disposal Se,0.004040791637350364
SHOP,8089,Leap Therapeutics In,0.04158519536199375
ABT,8747,Shopify Inc (US),0.04496794459529724
CAT,16764,Abbott Laboratories,0.08618299110501462
CTXS,2417,Caterpillar Inc.,0.012425691332666449
FAST,3814,"Citrix Systems, Inc.",0.01960760725808433
GM,23193,Fastenal Company,0.11923419903952542
HD,17459,General Motors Compa,0.08975595572073791
HPQ,8465,Home Depot Inc,0.04351819492388146
HSIC,2237,HP Inc,0.011500319201975525
LILA,959,"Henry Schein, Inc.",0.004930177074069972
SWKS,4549,,0.02338621012507227
T,32000,Skyworks Solutions I,0.16451060101171963
V,30606,AT&T Inc.,0.15734410795514658
CERC,2068,Visa Inc,0.010631497590382382
CZWI,155,Cerecor Inc,0.0007968482236505169
HUSA,1990,Citizens Community B,0.010230503000416315
NEXS,17,Houston American Ene,8.739625678747605e-05
NMUS,145,Nexus Biopharma Inc,0.0007454386608343546
RWLK,3674,Nemus Bioscience Inc,0.018887873378658063
COMP,390,Rewalk Robotics Ltd,0.002004972949830333
QID,380,,0.001953563387014171
RUT,2935,ProShares UltraShort,0.01508870668654366
SKF,31,,0.0001593696447301034
bmy,1061,ProShares UltraShort,0.005454554614794829
celg,480,,0.0024676590151757947
exel,351,,0.0018044756548472997
fgen,360,,0.0018507442613818457
gild,1469,,0.007552064777694254
juno,600,,0.0030845737689697435
kite,905,,0.004652565434862696
mrk,1623,,0.008343772045063154
nvs,359,,0.0018456033051002297
nwbo,422,,0.0021694835508420524
BA,25669,,0.13196320679280724
BWLD,4760,Boeing Co,0.024470951900493296
DB,7973,Buffalo Wild Wings,0.04098884443332627
HAL,8495,Deutsche Bank AG (US,0.043672423612329946
